id,Name,years,Remarks
45,Insaaph Company Sdn Bhd,2021,listed in securities commision INVESTOR ALERT LIST
46,Potential clone entity of Investopedia,2021,listed in securities commision INVESTOR ALERT LIST
47,Potential clone entity – Micro Success Resources,2021,listed in securities commision INVESTOR ALERT LIST
48,Potential clone entity – Muzn International Sdn. Bhd. / Muzn Islamic,2021,listed in securities commision INVESTOR ALERT LIST
49,Potential clone entity – Morood Investment Limited / Morood Investment Sdn Bhd,2021,listed in securities commision INVESTOR ALERT LIST
50,Potential clone entity – Oasis Investment Ltd-Asia,2021,listed in securities commision INVESTOR ALERT LIST
51,Potential clone entity – FxPro,2021,listed in securities commision INVESTOR ALERT LIST
52,Potential clone entity – Pelaburan Saham Malaysia,2021,listed in securities commision INVESTOR ALERT LIST
53,Potential clone entity – PNB,2021,listed in securities commision INVESTOR ALERT LIST
54,Planetrade Holdings Sdn Bhd,2021,listed in securities commision INVESTOR ALERT LIST
55,Pelaburan Al-Faris,2021,listed in securities commision INVESTOR ALERT LIST
56,Potential clone entity – Pelaburan Halal Syarikat Aiiman,2021,listed in securities commision INVESTOR ALERT LIST
57,Ribunan Maju Trading,2021,listed in securities commision INVESTOR ALERT LIST
58,Potential clone entity – Rana Investment Ltd / Rana Investment Sdn Bhd,2021,listed in securities commision INVESTOR ALERT LIST
59,Potential clone entity – Raiz Malaysia Investment,2021,listed in securities commision INVESTOR ALERT LIST
60,Potential clone entity – Ripple Trading Sdn Bhd,2021,listed in securities commision INVESTOR ALERT LIST
61,Robot Trading Sdn. Bhd.,2021,listed in securities commision INVESTOR ALERT LIST
62,Syarikat Al Muslim,2021,listed in securities commision INVESTOR ALERT LIST
63,CS SuperMax Trading Malaysia / SuperMax Trader Malaysia,2021,listed in securities commision INVESTOR ALERT LIST
64,Sheep Fortune .Co,2021,listed in securities commision INVESTOR ALERT LIST
65,Potential clone entity – Sharia Portfolio,2021,listed in securities commision INVESTOR ALERT LIST
66,Potential clone entity – Syarikat Khalij Investment & Khalij Trading Group Sdn Bhd,2021,listed in securities commision INVESTOR ALERT LIST
67,Syarikat Future Pelaburan,2021,listed in securities commision INVESTOR ALERT LIST
68,Potential clone entity – Tadawul Investment Limited - Asia,2021,listed in securities commision INVESTOR ALERT LIST
69,Potential clone entity – Tharwa Investment Co.,2021,listed in securities commision INVESTOR ALERT LIST
70,Potential clone entity – TA Investment,2021,listed in securities commision INVESTOR ALERT LIST
71,Uperfans Investment,2021,listed in securities commision INVESTOR ALERT LIST
72,Potential clone entity – WorldRemit,2021,listed in securities commision INVESTOR ALERT LIST
73,Potential clone entity – Wahed Bitcoin Investment,2021,listed in securities commision INVESTOR ALERT LIST
74,WKW Weng Enterprise,2021,listed in securities commision INVESTOR ALERT LIST
75,Potential clone entity – Wahed Robo Advisor Sdn. Bhd.,2021,listed in securities commision INVESTOR ALERT LIST
76,Potential clone entity – XM Global Limited,2021,listed in securities commision INVESTOR ALERT LIST
77,Potential clone entity – Binance Futures Investment,2021,listed in securities commision INVESTOR ALERT LIST
78,Esmash Investment Plan,2021,listed in securities commision INVESTOR ALERT LIST
79,Potential clone entity – Ageson / First Trial Group (WhatsApp),2024,listed in securities commision INVESTOR ALERT LIST
80,Potential clone entity – Akru Investment Berhad (WhastApp),2024,listed in securities commision INVESTOR ALERT LIST
81,Potential clone entity – AHAM Capital (WhatsApp),2024,listed in securities commision INVESTOR ALERT LIST
82,Potential clone entity – Aswa Advisory,2024,listed in securities commision INVESTOR ALERT LIST
83,Asvisonomics,2024,listed in securities commision INVESTOR ALERT LIST
84,Potential clone entity – Affin Hwang Investment,2024,listed in securities commision INVESTOR ALERT LIST
85,Al-Salam Financial Group,2024,listed in securities commision INVESTOR ALERT LIST
86,Alpha Investment Ltd / Alpha Capital Limited,2023,listed in securities commision INVESTOR ALERT LIST
87,ALC Software Solution,2023,listed in securities commision INVESTOR ALERT LIST
88,Potential clone entity – A.D. Evoque Financial / A.D. Financial,2023,listed in securities commision INVESTOR ALERT LIST
89,Potential clone entity – Apex Securities WhatsApp Group,2023,listed in securities commision INVESTOR ALERT LIST
90,Potential clone entity – Aura Global Trading,2023,listed in securities commision INVESTOR ALERT LIST
91,Potential clone entity – Amanah Murni Sdn. Bhd.,2023,listed in securities commision INVESTOR ALERT LIST
92,Potential clone entity – Alta Technologies,2023,listed in securities commision INVESTOR ALERT LIST
93,Al Imtiaz Trading,2022,listed in securities commision INVESTOR ALERT LIST
94,Potential clone entity – ACJ Capital Trading,2022,listed in securities commision INVESTOR ALERT LIST
95,AL-OMARI Sdn Bhd,2022,listed in securities commision INVESTOR ALERT LIST
96,Potential clone entity – Al-Hirah Sdn Bhd,2022,listed in securities commision INVESTOR ALERT LIST
97,Potential clone entity – Alameriah Investment Corporation Sdn. Bhd. / Alameriah Islamic Investment Sdn. Bhd.,2022,listed in securities commision INVESTOR ALERT LIST
98,Alif Syahmi Trade,2022,listed in securities commision INVESTOR ALERT LIST
99,Potential clone entity – Al-Faisal Holding / Al Faisal International Sdn. Bhd.,2022,listed in securities commision INVESTOR ALERT LIST
100,Potential clone entity – Al Rajhi Investment,2022,listed in securities commision INVESTOR ALERT LIST
101,Potential clone entity – Al Jabr Finance / Al Jabr Venture,2022,listed in securities commision INVESTOR ALERT LIST
102,Potential clone entity – Al-Arafah Trading,2022,listed in securities commision INVESTOR ALERT LIST
103,Arbah Sdn. Bhd.,2022,listed in securities commision INVESTOR ALERT LIST
104,Potential clone entity – Al Saudi Trading Sdn. Bhd.,2022,listed in securities commision INVESTOR ALERT LIST
105,Asia Trading,2020,listed in securities commision INVESTOR ALERT LIST
106,Potential clone entity – Albilad Credit (M) Sdn Bhd,2020,listed in securities commision INVESTOR ALERT LIST
107,Argaam Investment Sdn Bhd / Argaam Trading Investment,2020,listed in securities commision INVESTOR ALERT LIST
108,Al-Esbah General Trading Co,2020,listed in securities commision INVESTOR ALERT LIST
109,Azzad Islamic Investment,2020,listed in securities commision INVESTOR ALERT LIST
110,AOI Finance Group,2020,listed in securities commision INVESTOR ALERT LIST
111,Agro Capital Management Berhad (1096795-U) / Agro Equities Berhad (870583-P) / Agro Capital Management Corp (E0543862013-7),2019,listed in securities commision INVESTOR ALERT LIST
112,Akademi Saham Malaysia,2018,listed in securities commision INVESTOR ALERT LIST
113,Ahmad Amiruddin Mohamed,2017,listed in securities commision INVESTOR ALERT LIST
114,A.A.M Global Corporation Sdn Bhd (786134-V) / AAM Academy,2017,listed in securities commision INVESTOR ALERT LIST
115,Asean Union (Labuan) Foundation,2015,listed in securities commision INVESTOR ALERT LIST
116,Alvin Low Wei Yan (individual) (NRIC number: 710516-10-5513),2014,listed in securities commision INVESTOR ALERT LIST
117,AAIC Buillion Refineries Group Ltd / ABRG / ABRG Services Sdn Bhd,2011,listed in securities commision INVESTOR ALERT LIST
118,Ahmad Nazmi bin Mohamed (individual) (NRIC number: 850521-03-5243),2011,listed in securities commision INVESTOR ALERT LIST
119,Ahmad Fauzi bin Ambran (individual) (NRIC number: 770709-08-5605),2011,listed in securities commision INVESTOR ALERT LIST
120,Potential clone entity – Bombay Burmah Group 505,2023,listed in securities commision INVESTOR ALERT LIST
121,Potential clone entity – Bill Morrisons Sdn Bhd,2023,listed in securities commision INVESTOR ALERT LIST
122,Potential clone entity – Bersatu Indah Sdn. Bhd.,2023,listed in securities commision INVESTOR ALERT LIST
123,Potential clone entity – BMYG Financial Group Sdn Bhd,2023,listed in securities commision INVESTOR ALERT LIST
124,Potential clone entity – Blueprint Planning Invest,2023,listed in securities commision INVESTOR ALERT LIST
125,Potential clone entity – Blueprint Planning Inves,2023,listed in securities commision INVESTOR ALERT LIST
126,Billionaire Mindset Enterprise (202103101308) / Khor Chee Yong (NRIC No. 870922-08-5901),2022,listed in securities commision INVESTOR ALERT LIST
127,International Boustead Bond,2010,listed in securities commision INVESTOR ALERT LIST
128,Potential clone entity – Creador (WhatsApp),2024,listed in securities commision INVESTOR ALERT LIST
129,Cikgu Syahmi Academy,2024,listed in securities commision INVESTOR ALERT LIST
130,Capital Premium Investment,2023,listed in securities commision INVESTOR ALERT LIST
131,Potential clone entity – Crypto.com / Cryptoworks Sdn. Bhd.,2022,listed in securities commision INVESTOR ALERT LIST
132,Potential clone entity – Capital Trading (002985098-D),2020,listed in securities commision INVESTOR ALERT LIST
133,Corona Investment Opportunity Limited (“Corona”),2019,listed in securities commision INVESTOR ALERT LIST
134,Chong Kok Hee (Mack) (NRIC No. 840215-14-5445),2019,listed in securities commision INVESTOR ALERT LIST
135,Chour Au,2019,listed in securities commision INVESTOR ALERT LIST
136,Colonyinvest,2007,listed in securities commision INVESTOR ALERT LIST
137,Capital Enhancement Club / CEC,2007,listed in securities commision INVESTOR ALERT LIST
138,Dana Wawasan Trading,2023,listed in securities commision INVESTOR ALERT LIST
139,Delux Investment Sdn Bhd,2022,listed in securities commision INVESTOR ALERT LIST
140,DM Rise Enterprise,2015,listed in securities commision INVESTOR ALERT LIST
141,Dana Haji Jasman bin Mat Salleh / Dana Warisan Islam / Wang Amanah Warisan Islam,2010,listed in securities commision INVESTOR ALERT LIST
142,Duit Wayang,2006,listed in securities commision INVESTOR ALERT LIST
143,Potential clone entity – Eq8 Capital 210 (WhatsApp),2024,listed in securities commision INVESTOR ALERT LIST
144,Potential clone entity – ECL Advisory Sdn Bhd,2023,listed in securities commision INVESTOR ALERT LIST
145,Exiga Software Solutions,2023,listed in securities commision INVESTOR ALERT LIST
146,Potential clone entity – Everlast Capital Resources,2022,listed in securities commision INVESTOR ALERT LIST
147,Potential clone entity – Eastspring.malaysia,2022,listed in securities commision INVESTOR ALERT LIST
148,Emas Bersatu (M) Sdn Bhd,2020,listed in securities commision INVESTOR ALERT LIST
149,Eadvisory Limited (London),2007,listed in securities commision INVESTOR ALERT LIST
150,Potential clone entity – FP Markets Asia Investm,2024,listed in securities commision INVESTOR ALERT LIST
151,Potential clone entity – Future Strategy,2024,listed in securities commision INVESTOR ALERT LIST
152,Potential clone entity – Firmus Financial (WhatsApp),2024,listed in securities commision INVESTOR ALERT LIST
153,Potential clone entity – FM Global Invest 165,2023,listed in securities commision INVESTOR ALERT LIST
154,Potential clone entity – Fundaztic (WhatsApp),2023,listed in securities commision INVESTOR ALERT LIST
155,Potential clone entity – FT Pro Enterprise,2022,listed in securities commision INVESTOR ALERT LIST
156,Forbes Global Trading / Trade Investment,2022,listed in securities commision INVESTOR ALERT LIST
157,Forex Islamic Account,2020,listed in securities commision INVESTOR ALERT LIST
158,"Potential clone entity – FirstradeR.net, firsttrademalaysia.com and firstrademsia.com",2020,listed in securities commision INVESTOR ALERT LIST
159,Francis Tan @ Tan Poh Choon (NRIC: 470321105441) (Old IC: 2147073),2017,listed in securities commision INVESTOR ALERT LIST
160,Fakhrul Razi bin Ahmad Husni (individual) (NRIC number: 910727-08-6013),2011,listed in securities commision INVESTOR ALERT LIST
161,Fakhrul Mukmin bin Ahmad Husni (individual) (NRIC number: 840922-08-5891),2011,listed in securities commision INVESTOR ALERT LIST
162,Fakhrul Arif bin Ahmad Husni (individual) (NRIC number: 880526-08-6063),2011,listed in securities commision INVESTOR ALERT LIST
163,Future Portfolio Resources,2009,listed in securities commision INVESTOR ALERT LIST
164,Potential clone entity – Go Markets,2024,listed in securities commision INVESTOR ALERT LIST
165,Potential clone entity – Goldnet International,2024,listed in securities commision INVESTOR ALERT LIST
166,Global Stock Trading,2023,listed in securities commision INVESTOR ALERT LIST
167,Global Crypto Investment,2022,listed in securities commision INVESTOR ALERT LIST
168,Potential clone entity – Golden Capital Trading,2022,listed in securities commision INVESTOR ALERT LIST
169,Potential clone entity - Hevea Capital Ventures,2024,listed in securities commision INVESTOR ALERT LIST
170,Potential clone entity – Hilltop Investment,2024,listed in securities commision INVESTOR ALERT LIST
171,Potential clone entity – Halal Capital,2023,listed in securities commision INVESTOR ALERT LIST
172,Potential clone entity – Harveston Investment,2023,listed in securities commision INVESTOR ALERT LIST
173,Potential clone entity – HM Wealth Management,2020,listed in securities commision INVESTOR ALERT LIST
174,H-Trade (Global) Islamic / H-Trade Inc,2020,listed in securities commision INVESTOR ALERT LIST
175,Potential clone entity - Islamic Group Inc,2024,listed in securities commision INVESTOR ALERT LIST
176,Islamic Trading Group,2023,listed in securities commision INVESTOR ALERT LIST
177,Potential clone entity – IQ Advanced Solution,2023,listed in securities commision INVESTOR ALERT LIST
178,Potential clone entity – Infinity Prosper Sdn Bhd,2023,listed in securities commision INVESTOR ALERT LIST
179,Potential clone entity – InsureDIY,2023,listed in securities commision INVESTOR ALERT LIST
180,Potential clone entity – Islamic Capital,2023,listed in securities commision INVESTOR ALERT LIST
181,Potential clone entity – I-Max Financial,2023,listed in securities commision INVESTOR ALERT LIST
182,Potential clone entity – iFast Capital 212,2023,listed in securities commision INVESTOR ALERT LIST
183,Intraday.NFT,2022,listed in securities commision INVESTOR ALERT LIST
184,Potential clone entity – Itqan Capital Sdn. Bhd.,2022,listed in securities commision INVESTOR ALERT LIST
185,Potential clone entity – InvestSmart SC (Bijak Melabur) Telegram Group,2022,listed in securities commision INVESTOR ALERT LIST
186,Islah Trading Capital,2020,listed in securities commision INVESTOR ALERT LIST
187,Iqbal Capital Trading / Iqbal Trading,2020,listed in securities commision INVESTOR ALERT LIST
188,Ikhlas Exclusive,2020,listed in securities commision INVESTOR ALERT LIST
189,KLSE Stock Tips (VIP),2022,listed in securities commision INVESTOR ALERT LIST
190,Potential clone entity – KAF Islamic Equities,2022,listed in securities commision INVESTOR ALERT LIST
191,Potential clone entity – Kuwait Capital Corporation (Kuwait Capital),2020,listed in securities commision INVESTOR ALERT LIST
192,Kurmi Ghanshyam,2020,listed in securities commision INVESTOR ALERT LIST
193,KCP Enterprise 201903259792 (003019913-U) (“KCP”),2020,listed in securities commision INVESTOR ALERT LIST
194,LSD Gold Forex,2022,listed in securities commision INVESTOR ALERT LIST
195,Lux Investment Pty  Ltd / Luxembourg Offshore Banking,2019,listed in securities commision INVESTOR ALERT LIST
196,Leong Kok Tee,2019,listed in securities commision INVESTOR ALERT LIST
197,Locke Capital Investment (BVI) Ltd,2007,listed in securities commision INVESTOR ALERT LIST
198,Malayan Capital Market Berhad,2024,listed in securities commision INVESTOR ALERT LIST
199,Potential clone entity – Macquarie Capital,2024,listed in securities commision INVESTOR ALERT LIST
200,Potential clone entity – Mesti Berhasil,2024,listed in securities commision INVESTOR ALERT LIST
201,Potential clone entity – MIG Top Trading,2023,listed in securities commision INVESTOR ALERT LIST
202,Mazon Resources,2023,listed in securities commision INVESTOR ALERT LIST
203,MPC Trader Syariah,2022,listed in securities commision INVESTOR ALERT LIST
204,Potential clone entity – MDEC Pelaburan Pintar Untuk Masa Hadapan Telegram Group,2022,listed in securities commision INVESTOR ALERT LIST
205,Potential clone entity – Mi Trade,2022,listed in securities commision INVESTOR ALERT LIST
206,Musaffah Maju,2022,listed in securities commision INVESTOR ALERT LIST
207,Menian Investment,2020,listed in securities commision INVESTOR ALERT LIST
208,My Global Fintech Co Pty Limited (“My Global Fintech”),2020,listed in securities commision INVESTOR ALERT LIST
209,Muhd Muiz Al-Amin bin  Muhammad Firdaus (IC: 861126566865),2019,listed in securities commision INVESTOR ALERT LIST
210,Mohd Fairouz bin Mohd Din (IC No : 800726-01-6235),2015,listed in securities commision INVESTOR ALERT LIST
211,Mohd Shahrul Firdaus bin Zakaria (individual) (NRIC number: 851220-08-5049),2011,listed in securities commision INVESTOR ALERT LIST
212,Mohd Khalid bin Sujud (individual) (NRIC number: 870516-01-5609),2011,listed in securities commision INVESTOR ALERT LIST
213,My Share,2007,listed in securities commision INVESTOR ALERT LIST
214,Nerd Trade Malaysia / NT Trade,2023,listed in securities commision INVESTOR ALERT LIST
215,Potential clone entity – Nikolay Divinsky / Plan Pelaburan Syarikat Nikoley AMG Enterprise,2023,listed in securities commision INVESTOR ALERT LIST
216,NewGene Group,2020,listed in securities commision INVESTOR ALERT LIST
217,Potential clone entity – One Solution Advisory,2024,listed in securities commision INVESTOR ALERT LIST
218,Potential clone entity – Octa Corporation Sdn. Bhd.,2022,listed in securities commision INVESTOR ALERT LIST
219,One Gold Global,2022,listed in securities commision INVESTOR ALERT LIST
220,Potential clone entity – Phillip Capital 315,2024,listed in securities commision INVESTOR ALERT LIST
221,Pelaburan Muhammad Faizuddin,2023,listed in securities commision INVESTOR ALERT LIST
222,Pelaburan Crypto Club,2023,listed in securities commision INVESTOR ALERT LIST
223,PBGold Insure Sdn Bhd,2023,listed in securities commision INVESTOR ALERT LIST
224,Potential clone entity – Pelaburan Excellentte 1,2023,listed in securities commision INVESTOR ALERT LIST
225,Pelaburan G.T. Group,2023,listed in securities commision INVESTOR ALERT LIST
226,Potential clone entity – Platform Wahed Investing,2023,listed in securities commision INVESTOR ALERT LIST
227,Potential clone entity – Public Islamic Bank Telegram Group,2022,listed in securities commision INVESTOR ALERT LIST
228,Potential clone entity – Pelaburan Dynaquest Sdn Bhd,2022,listed in securities commision INVESTOR ALERT LIST
229,PT. Platform Trade Official,2022,listed in securities commision INVESTOR ALERT LIST
230,"Patrick George Harvey (individual) Passport: 1) 761052713, 2) 099223965",2014,listed in securities commision INVESTOR ALERT LIST
231,Quantum Metal Exchange Inc (NV20081307192),2024,listed in securities commision INVESTOR ALERT LIST
232,Potential clone entity – Rakuten Trade,2024,listed in securities commision INVESTOR ALERT LIST
233,Royal Trade Sdn Bhd,2024,listed in securities commision INVESTOR ALERT LIST
234,Redcrude Sdn Bhd (1427413-A),2023,listed in securities commision INVESTOR ALERT LIST
235,RZK Century Trading,2023,listed in securities commision INVESTOR ALERT LIST
236,Potential clone entity – Redvest Wealth & Asset Management,2023,listed in securities commision INVESTOR ALERT LIST
237,Rizqullah Ikhlas Enterprise / Smart Trader,2023,listed in securities commision INVESTOR ALERT LIST
238,Potential clone entity – Raiz Investment Berhad,2022,listed in securities commision INVESTOR ALERT LIST
239,RK Oriental Innovation / Zillion Investor Plan,2016,listed in securities commision INVESTOR ALERT LIST
240,Potential clone entity – SJ Securities S/B 272,2024,listed in securities commision INVESTOR ALERT LIST
241,Potential clone entity – Syarikat Magnisave,2024,listed in securities commision INVESTOR ALERT LIST
242,Potential clone entity – Syarikat Axen Alpha Advisory,2023,listed in securities commision INVESTOR ALERT LIST
243,Potential clone entity – Syfe Trade,2023,listed in securities commision INVESTOR ALERT LIST
244,Sahih Trading,2023,listed in securities commision INVESTOR ALERT LIST
245,Potential clone entity – Sanyu Sdn Bhd,2023,listed in securities commision INVESTOR ALERT LIST
246,Potential clone entity - Scope Market Global Online Trading,2022,listed in securities commision INVESTOR ALERT LIST
247,Potential clone entity – Sahara Global Investment,2022,listed in securities commision INVESTOR ALERT LIST
248,Potential clone entity – Syarikat Asyaf Investment,2022,listed in securities commision INVESTOR ALERT LIST
249,Potential clone entity – Sanabil Investments,2022,listed in securities commision INVESTOR ALERT LIST
250,Saham Bursa Malaysia Telegram Group,2022,listed in securities commision INVESTOR ALERT LIST
251,Potential clone entity – Syarikat Al-Ayuni,2022,listed in securities commision INVESTOR ALERT LIST
252,Syarikat Tiens Syariah,2020,listed in securities commision INVESTOR ALERT LIST
253,Slice TP Resources (IP0512871-M),2020,listed in securities commision INVESTOR ALERT LIST
254,Stuart L Shrimpton,2019,listed in securities commision INVESTOR ALERT LIST
255,SMCI Corporation,2018,listed in securities commision INVESTOR ALERT LIST
256,Siti Mohaya Binti Mohd Zainal,2017,listed in securities commision INVESTOR ALERT LIST
257,Swiss Standard Trust AG,2005,listed in securities commision INVESTOR ALERT LIST
258,"Swiss Standard Trust AG, Zurich",2005,listed in securities commision INVESTOR ALERT LIST
259,Trading Nexus,2023,listed in securities commision INVESTOR ALERT LIST
260,Potential clone entity – Triumph 2000,2023,listed in securities commision INVESTOR ALERT LIST
261,Potential clone entity – Tejara Capital,2022,listed in securities commision INVESTOR ALERT LIST
262,Trading Technology,2022,listed in securities commision INVESTOR ALERT LIST
263,Potential clone entity – Tradeview Capital,2022,listed in securities commision INVESTOR ALERT LIST
264,Takaful Profit,2020,listed in securities commision INVESTOR ALERT LIST
265,"UTokens, UToken Mutual Fund",2015,listed in securities commision INVESTOR ALERT LIST
266,Ugifund,2007,listed in securities commision INVESTOR ALERT LIST
267,Potential clone entity – Ventura Jaya,2024,listed in securities commision INVESTOR ALERT LIST
268,Potential clone entity – VKA Wealth,2023,listed in securities commision INVESTOR ALERT LIST
269,Ventor Trading,2022,listed in securities commision INVESTOR ALERT LIST
270,VVIP Club 88,2014,listed in securities commision INVESTOR ALERT LIST
271,Vantage Capital Ltd,2010,listed in securities commision INVESTOR ALERT LIST
272,Potential clone entity – Wealth Tree Holdings Sdn Bhd,2024,listed in securities commision INVESTOR ALERT LIST
273,Potential clone entity – W.I.A Invest (615),2023,listed in securities commision INVESTOR ALERT LIST
274,Wali Islamic Capital,2023,listed in securities commision INVESTOR ALERT LIST
275,Win Coint (Trade) / Win Coin Malaysia / Win Group Malaysia,2022,listed in securities commision INVESTOR ALERT LIST
276,Potential clone entity – ZICO Capital (WhatsApp),2024,listed in securities commision INVESTOR ALERT LIST
277,AGC Group / AGC Fund Management,2017,listed in securities commision INVESTOR ALERT LIST
278,Asean Paradize Incorporated,2015,listed in securities commision INVESTOR ALERT LIST
279,Asean Union Incorporated,2015,listed in securities commision INVESTOR ALERT LIST
280,Aipost Limited / Aipost,2011,listed in securities commision INVESTOR ALERT LIST
281,API Mutual LLC,2008,listed in securities commision INVESTOR ALERT LIST
282,ABFund,2008,listed in securities commision INVESTOR ALERT LIST
283,Asia Wallet / ASWtrader / Splitindex Inc,2007,listed in securities commision INVESTOR ALERT LIST
284,ABB Fund,2007,listed in securities commision INVESTOR ALERT LIST
285,BinaryBook,2018,listed in securities commision INVESTOR ALERT LIST
286,Build Rich,2015,listed in securities commision INVESTOR ALERT LIST
287,Boss Venture / Cash Deal Sdn Bhd,2014,listed in securities commision INVESTOR ALERT LIST
288,CFAF Islamic,2019,listed in securities commision INVESTOR ALERT LIST
289,CopyCash Foundation and CopyCashCoin,2018,listed in securities commision INVESTOR ALERT LIST
290,CPOTrading.com / CPO Resources / Crude Palm Trading Sdn Bhd,2016,listed in securities commision INVESTOR ALERT LIST
291,Capstone Alliance Group,2014,listed in securities commision INVESTOR ALERT LIST
292,Cfdventures,2007,listed in securities commision INVESTOR ALERT LIST
293,Cambridge Capital Trading,2006,listed in securities commision INVESTOR ALERT LIST
294,DSV Cryptoclub,2018,listed in securities commision INVESTOR ALERT LIST
295,Dusten Johnson,2017,listed in securities commision INVESTOR ALERT LIST
296,Dana Modal,2007,listed in securities commision INVESTOR ALERT LIST
297,Dana Futures,2007,listed in securities commision INVESTOR ALERT LIST
298,Data Saham,2006,listed in securities commision INVESTOR ALERT LIST
299,Exp Asset,2019,listed in securities commision INVESTOR ALERT LIST
300,Efzinitus Capital Pte Ltd,2017,listed in securities commision INVESTOR ALERT LIST
301,Ethtrade Limited / Ethtrade Global Limited,2017,listed in securities commision INVESTOR ALERT LIST
302,Euro FinBank,2010,listed in securities commision INVESTOR ALERT LIST
303,Eduit2u.com,2007,listed in securities commision INVESTOR ALERT LIST
304,E-Barrel,2007,listed in securities commision INVESTOR ALERT LIST
305,Eubond.com,2007,listed in securities commision INVESTOR ALERT LIST
306,Eaindex,2007,listed in securities commision INVESTOR ALERT LIST
307,Forex Malaysia,2019,listed in securities commision INVESTOR ALERT LIST
308,FM Trader (FM Marketing Ltd / FM-fx),2017,listed in securities commision INVESTOR ALERT LIST
309,Financial.org,2017,listed in securities commision INVESTOR ALERT LIST
310,Futurebarrel.com,2013,listed in securities commision INVESTOR ALERT LIST
311,FCPO Investment Group,2009,listed in securities commision INVESTOR ALERT LIST
