Company,IsRegistered,YearsInOperation,HighReturns,TransparentBusinessModel,AccessibleManagement,ClearTerms,EasyWithdrawal,RequiresRecruitment,ThirdPartyReviews,UnsolicitedOffers,ProfessionalWebsite,EncouragesSecrecy,Flag
Company X,Yes,7,No,Yes,Yes,Yes,Yes,No,Positive,No,Yes,No,Green
Company Y,Not Sure,4,Yes,No,No,No,Yes,Yes,Mixed,Yes,No,Yes,Yellow
Company Z,No,2,Yes,No,No,No,No,Yes,Negative,Yes,No,Yes,Red
Company AA,Yes,8,No,Yes,Yes,Yes,Yes,No,Positive,No,Yes,No,Green
Company AB,Not Sure,5,Yes,No,No,No,Yes,Yes,Mixed,Yes,No,Yes,Yellow
Company AC,No,1,Yes,No,No,No,No,Yes,Negative,Yes,No,Yes,Red
Company AD,Yes,9,No,Yes,Yes,Yes,Yes,No,Positive,No,Yes,No,Green
Company AE,Not Sure,4,Yes,No,No,No,Yes,Yes,Mixed,Yes,No,Yes,Yellow
Company AF,No,2,Yes,No,No,No,No,Yes,Negative,Yes,No,Yes,Red
Company AG,Yes,10,No,Yes,Yes,Yes,Yes,No,Positive,No,Yes,No,Green
Company AH,Not Sure,3,Yes,No,No,No,Yes,Yes,Mixed,Yes,No,Yes,Yellow
Company AI,No,1,Yes,No,No,No,No,Yes,Negative,Yes,No,Yes,Red
Company AJ,Yes,15,No,Yes,Yes,Yes,Yes,No,Positive,No,Yes,No,Green
Company AK,Not Sure,2,Yes,No,No,No,Yes,Yes,Mixed,Yes,No,Yes,Yellow
Company AL,No,1,Yes,No,No,No,No,Yes,Negative,Yes,No,Yes,Red
Company AM,Yes,12,No,Yes,Yes,Yes,Yes,No,Positive,No,Yes,No,Green
Company AN,Not Sure,4,Yes,No,No,No,Yes,Yes,Mixed,Yes,No,Yes,Yellow
Company AO,No,Less than 1,Yes,No,No,No,No,Yes,Negative,Yes,No,Yes,Red
Company AP,Yes,5,No,Yes,Yes,Yes,Yes,No,Positive,No,Yes,No,Green
Company AQ,Not Sure,3,Yes,No,No,No,Yes,Yes,Mixed,Yes,No,Yes,Yellow
Company AR,No,1,Yes,No,No,No,No,Yes,Negative,Yes,No,Yes,Red
Company AS,Yes,6,No,Yes,Yes,Yes,Yes,No,Positive,No,Yes,No,Green
Company AT,Not Sure,4,Yes,No,No,No,Yes,Yes,Mixed,Yes,No,Yes,Yellow
Company AU,No,2,Yes,No,No,No,No,Yes,Negative,Yes,No,Yes,Red
Company AV,Yes,7,No,Yes,Yes,Yes,Yes,No,Positive,No,Yes,No,Green
Company AW,Not Sure,3,Yes,No,No,No,Yes,Yes,Mixed,Yes,No,Yes,Yellow
Company AX,No,1,Yes,No,No,No,No,Yes,Negative,Yes,No,Yes,Red
Company AY,Yes,8,No,Yes,Yes,Yes,Yes,No,Positive,No,Yes,No,Green
Company AZ,Not Sure,4,Yes,No,No,No,Yes,Yes,Mixed,Yes,No,Yes,Yellow
Company BA,No,2,Yes,No,No,No,No,Yes,Negative,Yes,No,Yes,Red
Company BB,Yes,10,No,Yes,Yes,Yes,Yes,No,Positive,No,Yes,No,Green
Company BC,Not Sure,3,Yes,No,No,No,Yes,Yes,Mixed,Yes,No,Yes,Yellow
Company BD,No,1,Yes,No,No,No,No,Yes,Negative,Yes,No,Yes,Red
Company BE,Yes,12,No,Yes,Yes,Yes,Yes,No,Positive,No,Yes,No,Green
Company BF,Not Sure,4,Yes,No,No,No,Yes,Yes,Mixed,Yes,No,Yes,Yellow
Company BG,No,Less than 1,Yes,No,No,No,No,Yes,Negative,Yes,No,Yes,Red
Company BH,Yes,5,No,Yes,Yes,Yes,Yes,No,Positive,No,Yes,No,Green
Company BI,Not Sure,4,Yes,No,No,No,Yes,Yes,Mixed,Yes,No,Yes,Yellow
Company BJ,No,2,Yes,No,No,No,No,Yes,Negative,Yes,No,Yes,Red
Company BK,Yes,7,No,Yes,Yes,Yes,Yes,No,Positive,No,Yes,No,Green
Company BL,Not Sure,3,Yes,No,No,No,Yes,Yes,Mixed,Yes,No,Yes,Yellow
Company BM,No,1,Yes,No,No,No,No,Yes,Negative,Yes,No,Yes,Red
Company BN,Yes,8,No,Yes,Yes,Yes,Yes,No,Positive,No,Yes,No,Green
Company BO,Not Sure,4,Yes,No,No,No,

